Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-05
Horizontal Delay,-5e-06
Sample Interval,4e-09
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,0
,
,
,
Label,
TIME,CH1
-2.050000e-04,-0.477813
-2.049960e-04,-0.484687
-2.049920e-04,-0.463125
-2.049880e-04,-0.423906
-2.049840e-04,-0.458906
-2.049800e-04,-0.474531
-2.049760e-04,-0.4625
-2.049720e-04,-0.466562
-2.049680e-04,-0.464531
-2.049640e-04,-0.443594
-2.049600e-04,-0.445937
-2.049560e-04,-0.440781
-2.049520e-04,-0.455625
-2.049480e-04,-0.470469
-2.049440e-04,-0.460313
-2.049400e-04,-0.466406
-2.049360e-04,-0.447813
-2.049320e-04,-0.44625
-2.049280e-04,-0.44
-2.049240e-04,-0.473438
-2.049200e-04,-0.443594
-2.049160e-04,-0.486406
-2.049120e-04,-0.464219
-2.049080e-04,-0.443125
-2.049040e-04,-0.455313
-2.049000e-04,-0.460781
-2.048960e-04,-0.476875
-2.048920e-04,-0.445469
-2.048880e-04,-0.450625
-2.048840e-04,-0.4625
-2.048800e-04,-0.478125
-2.048760e-04,-0.462656
-2.048720e-04,-0.482813
-2.048680e-04,-0.450469
-2.048640e-04,-0.459688
-2.048600e-04,-0.447656
-2.048560e-04,-0.457031
-2.048520e-04,-0.449688
-2.048480e-04,-0.451094
-2.048440e-04,-0.4775
-2.048400e-04,-0.45625
-2.048360e-04,-0.441719
-2.048320e-04,-0.465938
-2.048280e-04,-0.454531
-2.048240e-04,-0.480313
-2.048200e-04,-0.459688
-2.048160e-04,-0.471719
-2.048120e-04,-0.458281
-2.048080e-04,-0.475313
-2.048040e-04,-0.463281
-2.048000e-04,-0.451563
-2.047960e-04,-0.475781
-2.047920e-04,-0.456875
-2.047880e-04,-0.438438
-2.047840e-04,-0.49875
-2.047800e-04,-0.445781
-2.047760e-04,-0.47625
-2.047720e-04,-0.465938
-2.047680e-04,-0.436094
-2.047640e-04,-0.475781
-2.047600e-04,-0.488906
-2.047560e-04,-0.447969
-2.047520e-04,-0.461719
-2.047480e-04,-0.471094
-2.047440e-04,-0.441719
-2.047400e-04,-0.484687
-2.047360e-04,-0.4975
-2.047320e-04,-0.459062
-2.047280e-04,-0.445625
-2.047240e-04,-0.4775
-2.047200e-04,-0.478438
-2.047160e-04,-0.447031
-2.047120e-04,-0.464844
-2.047080e-04,-0.476094
-2.047040e-04,-0.459219
-2.047000e-04,-0.441719
-2.046960e-04,-0.462813
-2.046920e-04,-0.445312
-2.046880e-04,-0.43875
-2.046840e-04,-0.451563
-2.046800e-04,-0.449688
-2.046760e-04,-0.430312
-2.046720e-04,-0.468438
-2.046680e-04,-0.445156
-2.046640e-04,-0.43625
-2.046600e-04,-0.492344
-2.046560e-04,-0.436563
-2.046520e-04,-0.458125
-2.046480e-04,-0.457813
-2.046440e-04,-0.475313
-2.046400e-04,-0.470469
-2.046360e-04,-0.487344
-2.046320e-04,-0.454531
-2.046280e-04,-0.447344
-2.046240e-04,-0.475156
-2.046200e-04,-0.450156
-2.046160e-04,-0.455937
-2.046120e-04,-0.485313
-2.046080e-04,-0.486875
-2.046040e-04,-0.467656
-2.046000e-04,-0.435469
-2.045960e-04,-0.479844
-2.045920e-04,-0.440312
-2.045880e-04,-0.445469
-2.045840e-04,-0.473125
-2.045800e-04,-0.448281
-2.045760e-04,-0.444219
-2.045720e-04,-0.444844
-2.045680e-04,-0.472344
-2.045640e-04,-0.462344
-2.045600e-04,-0.451719
-2.045560e-04,-0.453437
-2.045520e-04,-0.446094
-2.045480e-04,-0.472656
-2.045440e-04,-0.451406
