Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-05
Horizontal Delay,-4e-06
Sample Interval,4e-09
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,0
,
,
,
Label,
TIME,CH1
-2.040000e-04,-2.56516
-2.039960e-04,-2.57094
-2.039920e-04,-2.58688
-2.039880e-04,-2.55953
-2.039840e-04,-2.57766
-2.039800e-04,-2.56219
-2.039760e-04,-2.56484
-2.039720e-04,-2.5625
-2.039680e-04,-2.57141
-2.039640e-04,-2.56578
-2.039600e-04,-2.56766
-2.039560e-04,-2.55125
-2.039520e-04,-2.56109
-2.039480e-04,-2.54656
-2.039440e-04,-2.56563
-2.039400e-04,-2.56594
-2.039360e-04,-2.55484
-2.039320e-04,-2.55344
-2.039280e-04,-2.56188
-2.039240e-04,-2.55812
-2.039200e-04,-2.55875
-2.039160e-04,-2.57047
-2.039120e-04,-2.56625
-2.039080e-04,-2.58453
-2.039040e-04,-2.55
-2.039000e-04,-2.56406
-2.038960e-04,-2.58359
-2.038920e-04,-2.57281
-2.038880e-04,-2.53906
-2.038840e-04,-2.56375
-2.038800e-04,-2.56438
-2.038760e-04,-2.55422
-2.038720e-04,-2.55672
-2.038680e-04,-2.56
-2.038640e-04,-2.55266
-2.038600e-04,-2.57094
-2.038560e-04,-2.58578
-2.038520e-04,-2.55063
-2.038480e-04,-2.55437
-2.038440e-04,-2.54937
-2.038400e-04,-2.56531
-2.038360e-04,-2.54906
-2.038320e-04,-2.52766
-2.038280e-04,-2.57125
-2.038240e-04,-2.565
-2.038200e-04,-2.54531
-2.038160e-04,-2.55516
-2.038120e-04,-2.55078
-2.038080e-04,-2.57391
-2.038040e-04,-2.54984
-2.038000e-04,-2.57219
-2.037960e-04,-2.53875
-2.037920e-04,-2.55953
-2.037880e-04,-2.54672
-2.037840e-04,-2.55406
-2.037800e-04,-2.53766
-2.037760e-04,-2.56281
-2.037720e-04,-2.53063
-2.037680e-04,-2.55359
-2.037640e-04,-2.54141
-2.037600e-04,-2.56172
-2.037560e-04,-2.56859
-2.037520e-04,-2.5575
-2.037480e-04,-2.55516
-2.037440e-04,-2.56078
-2.037400e-04,-2.54047
-2.037360e-04,-2.56203
-2.037320e-04,-2.56281
-2.037280e-04,-2.54906
-2.037240e-04,-2.53922
-2.037200e-04,-2.56719
-2.037160e-04,-2.57484
-2.037120e-04,-2.54766
-2.037080e-04,-2.54953
-2.037040e-04,-2.56734
-2.037000e-04,-2.56109
-2.036960e-04,-2.56016
-2.036920e-04,-2.55734
-2.036880e-04,-2.53187
-2.036840e-04,-2.56016
-2.036800e-04,-2.55797
-2.036760e-04,-2.52391
-2.036720e-04,-2.55172
-2.036680e-04,-2.54656
-2.036640e-04,-2.54719
-2.036600e-04,-2.55797
-2.036560e-04,-2.54609
-2.036520e-04,-2.54016
-2.036480e-04,-2.55328
-2.036440e-04,-2.55734
-2.036400e-04,-2.5575
-2.036360e-04,-2.57313
-2.036320e-04,-2.55516
-2.036280e-04,-2.55953
-2.036240e-04,-2.55969
-2.036200e-04,-2.56766
-2.036160e-04,-2.54453
-2.036120e-04,-2.53906
-2.036080e-04,-2.55
-2.036040e-04,-2.55828
-2.036000e-04,-2.54844
-2.035960e-04,-2.55906
-2.035920e-04,-2.55953
-2.035880e-04,-2.54422
-2.035840e-04,-2.53984
-2.035800e-04,-2.56469
-2.035760e-04,-2.52234
-2.035720e-04,-2.55734
-2.035680e-04,-2.56859
-2.035640e-04,-2.51797
-2.035600e-04,-2.53922
-2.035560e-04,-2.57812
-2.035520e-04,-2.54906
-2.035480e-04,-2.57234
-2.035440e-04,-2.50672
