Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-05
Horizontal Delay,-5e-06
Sample Interval,2e-09
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,0
,
,
,
Label,
TIME,CH1
-1.050000e-04,-1.70781
-1.049980e-04,-1.68516
-1.049960e-04,-1.68688
-1.049940e-04,-1.68906
-1.049920e-04,-1.69125
-1.049900e-04,-1.71344
-1.049880e-04,-1.71
-1.049860e-04,-1.69344
-1.049840e-04,-1.69375
-1.049820e-04,-1.69828
-1.049800e-04,-1.68562
-1.049780e-04,-1.71562
-1.049760e-04,-1.6525
-1.049740e-04,-1.70141
-1.049720e-04,-1.70188
-1.049700e-04,-1.70266
-1.049680e-04,-1.70141
-1.049660e-04,-1.70953
-1.049640e-04,-1.7125
-1.049620e-04,-1.70484
-1.049600e-04,-1.69609
-1.049580e-04,-1.68641
-1.049560e-04,-1.67578
-1.049540e-04,-1.68844
-1.049520e-04,-1.6875
-1.049500e-04,-1.68562
-1.049480e-04,-1.69422
-1.049460e-04,-1.71687
-1.049440e-04,-1.68969
-1.049420e-04,-1.70469
-1.049400e-04,-1.68328
-1.049380e-04,-1.71375
-1.049360e-04,-1.70047
-1.049340e-04,-1.68172
-1.049320e-04,-1.71766
-1.049300e-04,-1.68672
-1.049280e-04,-1.69328
-1.049260e-04,-1.68969
-1.049240e-04,-1.68234
-1.049220e-04,-1.70734
-1.049200e-04,-1.68891
-1.049180e-04,-1.70609
-1.049160e-04,-1.69156
-1.049140e-04,-1.68156
-1.049120e-04,-1.69125
-1.049100e-04,-1.68359
-1.049080e-04,-1.71953
-1.049060e-04,-1.69203
-1.049040e-04,-1.68453
-1.049020e-04,-1.69469
-1.049000e-04,-1.68594
-1.048980e-04,-1.71406
-1.048960e-04,-1.69234
-1.048940e-04,-1.70781
-1.048920e-04,-1.68703
-1.048900e-04,-1.71141
-1.048880e-04,-1.70844
-1.048860e-04,-1.67891
-1.048840e-04,-1.70828
-1.048820e-04,-1.68109
-1.048800e-04,-1.67859
-1.048780e-04,-1.69562
-1.048760e-04,-1.69266
-1.048740e-04,-1.67219
-1.048720e-04,-1.69516
-1.048700e-04,-1.69797
-1.048680e-04,-1.70359
-1.048660e-04,-1.70953
-1.048640e-04,-1.68781
-1.048620e-04,-1.66953
-1.048600e-04,-1.68703
-1.048580e-04,-1.70516
-1.048560e-04,-1.6975
-1.048540e-04,-1.69797
-1.048520e-04,-1.71094
-1.048500e-04,-1.69141
-1.048480e-04,-1.68422
-1.048460e-04,-1.66016
-1.048440e-04,-1.71844
-1.048420e-04,-1.70391
-1.048400e-04,-1.70688
-1.048380e-04,-1.68734
-1.048360e-04,-1.71281
-1.048340e-04,-1.68141
-1.048320e-04,-1.6675
-1.048300e-04,-1.68437
-1.048280e-04,-1.68922
-1.048260e-04,-1.6925
-1.048240e-04,-1.67094
-1.048220e-04,-1.67406
-1.048200e-04,-1.68703
-1.048180e-04,-1.69203
-1.048160e-04,-1.67625
-1.048140e-04,-1.69
-1.048120e-04,-1.67031
-1.048100e-04,-1.67234
-1.048080e-04,-1.68344
-1.048060e-04,-1.68813
-1.048040e-04,-1.68172
-1.048020e-04,-1.68422
-1.048000e-04,-1.7075
-1.047980e-04,-1.66375
-1.047960e-04,-1.69297
-1.047940e-04,-1.68906
-1.047920e-04,-1.71297
-1.047900e-04,-1.69813
-1.047880e-04,-1.66203
-1.047860e-04,-1.67984
-1.047840e-04,-1.69891
-1.047820e-04,-1.69578
-1.047800e-04,-1.65875
-1.047780e-04,-1.6675
-1.047760e-04,-1.68406
-1.047740e-04,-1.70625
-1.047720e-04,-1.68328
