,,
,            Frequency,           DB(V(C:2))
,600,-62.99317175
,613.9757954,-62.83615882
,628.2771288,-62.67760069
,642.9115831,-62.51753781
,657.8869177,-62.35601052
,673.2110726,-62.19305901
,688.8921729,-62.0287232
,704.938533,-61.86304269
,721.3586608,-61.69605671
,738.1612625,-61.52780402
,755.3552471,-61.35832288
,772.949731,-61.18765101
,790.9540431,-61.01582551
,809.3777296,-60.84288284
,828.2305588,-60.66885878
,847.5225268,-60.4937884
,867.2638624,-60.31770601
,887.4650329,-60.14064517
,908.1367491,-59.96263863
,929.2899713,-59.78371833
,950.9359155,-59.60391541
,973.0860584,-59.42326015
,995.7521445,-59.24178199
,1018.946191,-59.05950952
,1042.680497,-58.87647048
,1066.967646,-58.69269174
,1091.820515,-58.50819934
,1117.252282,-58.32301843
,1143.276431,-58.13717334
,1169.90676,-57.95068755
,1197.157389,-57.7635837
,1225.042767,-57.57588359
,1253.577679,-57.38760823
,1282.777254,-57.1987778
,1312.656974,-57.00941168
,1343.232683,-56.81952848
,1374.520592,-56.62914601
,1406.537289,-56.43828135
,1439.299751,-56.24695079
,1472.825349,-56.05516993
,1507.131859,-55.86295361
,1542.23747,-55.67031596
,1578.160795,-55.47727043
,1614.920882,-55.28382978
,1652.537222,-55.09000607
,1691.029759,-54.89581074
,1730.418902,-54.70125454
,1770.725536,-54.5063476
,1811.971032,-54.31109943
,1854.17726,-54.1155189
,1897.366596,-53.91961427
,1941.561942,-53.72339324
,1986.786729,-53.52686286
,2033.064937,-53.33002965
,2080.421103,-53.13289951
,2128.880335,-52.9354778
,2178.468329,-52.7377693
,2229.211375,-52.53977824
,2281.136378,-52.34150827
,2334.27087,-52.14296253
,2388.643023,-51.94414356
,2444.281667,-51.74505339
,2501.216301,-51.54569347
,2559.477113,-51.34606472
,2619.094993,-51.1461675
,2680.101553,-50.94600161
,2742.529138,-50.74556632
,2806.410848,-50.54486029
,2871.780554,-50.34388164
,2938.672916,-50.14262791
,3007.123402,-49.94109606
,3077.168304,-49.73928244
,3148.844761,-49.5371828
,3222.190778,-49.33479227
,3297.245243,-49.13210536
,3374.047951,-48.92911592
,3452.639624,-48.72581713
,3533.061932,-48.5222015
,3615.357516,-48.31826083
,3699.570011,-48.11398619
,3785.744067,-47.90936792
,3873.925374,-47.70439555
,3964.160688,-47.49905784
,4056.497852,-47.2933427
,4150.985826,-47.08723718
,4247.674706,-46.88072743
,4346.61576,-46.67379864
,4447.861448,-46.46643505
,4551.46545,-46.25861988
,4657.4827,-46.05033525
,4765.969408,-45.84156219
,4876.983097,-45.63228055
,4990.582627,-45.42246895
,5106.828229,-45.21210474
,5225.78154,-45.00116388
,5347.505629,-44.78962094
,5472.065036,-44.57744898
,5599.525805,-44.36461948
,5729.955516,-44.15110226
,5863.423326,-43.93686537
,6000,-43.72187502
,6139.757954,-43.50609545
,6282.771288,-43.28948884
,6429.115831,-43.07201514
,6578.869177,-42.85363201
,6732.110726,-42.6342946
,6888.921729,-42.41395547
,7049.38533,-42.19256437
,7213.586608,-41.97006808
,7381.612625,-41.74641025
,7553.552471,-41.52153112
,7729.49731,-41.29536739
