Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1e-06
Horizontal Delay,-4e-06
Sample Interval,4e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.02
Vertical Position,-0.12
,
,
,
Label,
TIME,CH2
-2.400000e-05,0.0135594
-2.399960e-05,0.01265
-2.399920e-05,0.0133969
-2.399880e-05,0.0133844
-2.399840e-05,0.0131406
-2.399800e-05,0.0129406
-2.399760e-05,0.0134094
-2.399720e-05,0.0132531
-2.399680e-05,0.0128625
-2.399640e-05,0.0132156
-2.399600e-05,0.0128656
-2.399560e-05,0.0126406
-2.399520e-05,0.0121344
-2.399480e-05,0.0126125
-2.399440e-05,0.0130281
-2.399400e-05,0.0128344
-2.399360e-05,0.0128438
-2.399320e-05,0.0125594
-2.399280e-05,0.0128781
-2.399240e-05,0.0121969
-2.399200e-05,0.0127781
-2.399160e-05,0.0128938
-2.399120e-05,0.0125156
-2.399080e-05,0.0118281
-2.399040e-05,0.0125969
-2.399000e-05,0.0126031
-2.398960e-05,0.0123156
-2.398920e-05,0.0122688
-2.398880e-05,0.0119281
-2.398840e-05,0.0119
-2.398800e-05,0.0119156
-2.398760e-05,0.01225
-2.398720e-05,0.011875
-2.398680e-05,0.0119031
-2.398640e-05,0.0120531
-2.398600e-05,0.0119563
-2.398560e-05,0.0118438
-2.398520e-05,0.0124437
-2.398480e-05,0.0120875
-2.398440e-05,0.0123344
-2.398400e-05,0.0119188
-2.398360e-05,0.0115563
-2.398320e-05,0.0117063
-2.398280e-05,0.0122188
-2.398240e-05,0.0119656
-2.398200e-05,0.0112219
-2.398160e-05,0.0115406
-2.398120e-05,0.0118469
-2.398080e-05,0.011675
-2.398040e-05,0.0116375
-2.398000e-05,0.012225
-2.397960e-05,0.0121781
-2.397920e-05,0.0112812
-2.397880e-05,0.0116188
-2.397840e-05,0.01135
-2.397800e-05,0.0116344
-2.397760e-05,0.0112938
-2.397720e-05,0.0113375
-2.397680e-05,0.0116406
-2.397640e-05,0.0114719
-2.397600e-05,0.0113875
-2.397560e-05,0.0108781
-2.397520e-05,0.0109813
-2.397480e-05,0.0105469
-2.397440e-05,0.0110344
-2.397400e-05,0.0109625
-2.397360e-05,0.0106375
-2.397320e-05,0.0104969
-2.397280e-05,0.0102625
-2.397240e-05,0.0106719
-2.397200e-05,0.0101625
-2.397160e-05,0.0104344
-2.397120e-05,0.01005
-2.397080e-05,0.0104281
-2.397040e-05,0.0104031
-2.397000e-05,0.0104656
-2.396960e-05,0.0106812
-2.396920e-05,0.0107469
-2.396880e-05,0.0100156
-2.396840e-05,0.0103969
-2.396800e-05,0.0106031
-2.396760e-05,0.0108313
-2.396720e-05,0.0108687
-2.396680e-05,0.0105906
-2.396640e-05,0.0105906
-2.396600e-05,0.0100594
-2.396560e-05,0.01065
-2.396520e-05,0.0104094
-2.396480e-05,0.00987813
-2.396440e-05,0.0104781
-2.396400e-05,0.0100781
-2.396360e-05,0.0104719
-2.396320e-05,0.0104656
-2.396280e-05,0.0099875
-2.396240e-05,0.009825
-2.396200e-05,0.00998125
-2.396160e-05,0.00975938
-2.396120e-05,0.00984063
-2.396080e-05,0.0102219
-2.396040e-05,0.00984063
-2.396000e-05,0.0103
-2.395960e-05,0.00937188
-2.395920e-05,0.00981875
-2.395880e-05,0.00984375
-2.395840e-05,0.00980312
-2.395800e-05,0.00982813
-2.395760e-05,0.00998438
-2.395720e-05,0.0098
-2.395680e-05,0.00982813
-2.395640e-05,0.00984375
-2.395600e-05,0.00973437
-2.395560e-05,0.00997188
-2.395520e-05,0.00963438
-2.395480e-05,0.00976875
-2.395440e-05,0.00978125
