Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0001
Horizontal Delay,-5e-06
Sample Interval,1e-08
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,0
,
,
,
Label,
TIME,CH1
-5.050000e-04,-0.132656
-5.049900e-04,-0.094375
-5.049800e-04,-0.119375
-5.049700e-04,-0.0945312
-5.049600e-04,-0.119375
-5.049500e-04,-0.102188
-5.049400e-04,-0.115937
-5.049300e-04,-0.112344
-5.049200e-04,-0.117031
-5.049100e-04,-0.0660938
-5.049000e-04,-0.0784375
-5.048900e-04,-0.076875
-5.048800e-04,-0.0778125
-5.048700e-04,-0.0976562
-5.048600e-04,-0.0990625
-5.048500e-04,-0.0901563
-5.048400e-04,-0.10625
-5.048300e-04,-0.0932812
-5.048200e-04,-0.115
-5.048100e-04,-0.103594
-5.048000e-04,-0.0909375
-5.047900e-04,-0.091875
-5.047800e-04,-0.101094
-5.047700e-04,-0.0854687
-5.047600e-04,-0.085
-5.047500e-04,-0.094375
-5.047400e-04,-0.08625
-5.047300e-04,-0.0932812
-5.047200e-04,-0.0815625
-5.047100e-04,-0.0942188
-5.047000e-04,-0.098125
-5.046900e-04,-0.0678125
-5.046800e-04,-0.0815625
-5.046700e-04,-0.0885937
-5.046600e-04,-0.145937
-5.046500e-04,-0.103438
-5.046400e-04,-0.0920312
-5.046300e-04,-0.0884375
-5.046200e-04,-0.110156
-5.046100e-04,-0.13125
-5.046000e-04,-0.090625
-5.045900e-04,-0.09875
-5.045800e-04,-0.115625
-5.045700e-04,-0.0784375
-5.045600e-04,-0.135156
-5.045500e-04,-0.123438
-5.045400e-04,-0.101719
-5.045300e-04,-0.0970312
-5.045200e-04,-0.0909375
-5.045100e-04,-0.096875
-5.045000e-04,-0.0942188
-5.044900e-04,-0.0889063
-5.044800e-04,-0.098125
-5.044700e-04,-0.0967188
-5.044600e-04,-0.0778125
-5.044500e-04,-0.103438
-5.044400e-04,-0.125469
-5.044300e-04,-0.0957812
-5.044200e-04,-0.102656
-5.044100e-04,-0.0940625
-5.044000e-04,-0.0960938
-5.043900e-04,-0.095
-5.043800e-04,-0.107031
-5.043700e-04,-0.0957812
-5.043600e-04,-0.0885937
-5.043500e-04,-0.103906
-5.043400e-04,-0.118906
-5.043300e-04,-0.117344
-5.043200e-04,-0.111719
-5.043100e-04,-0.118594
-5.043000e-04,-0.0853125
-5.042900e-04,-0.103125
-5.042800e-04,-0.085
-5.042700e-04,-0.100156
-5.042600e-04,-0.101875
-5.042500e-04,-0.0825
-5.042400e-04,-0.114844
-5.042300e-04,-0.0707813
-5.042200e-04,-0.0953125
-5.042100e-04,-0.0760938
-5.042000e-04,-0.0825
-5.041900e-04,-0.0846875
-5.041800e-04,-0.0871875
-5.041700e-04,-0.0829688
-5.041600e-04,-0.0960938
-5.041500e-04,-0.0778125
-5.041400e-04,-0.0829688
-5.041300e-04,-0.101406
-5.041200e-04,-0.101719
-5.041100e-04,-0.119375
-5.041000e-04,-0.08375
-5.040900e-04,-0.0798438
-5.040800e-04,-0.0859375
-5.040700e-04,-0.0878125
-5.040600e-04,-0.0826563
-5.040500e-04,-0.112031
-5.040400e-04,-0.104688
-5.040300e-04,-0.0948438
-5.040200e-04,-0.0978125
-5.040100e-04,-0.095625
-5.040000e-04,-0.0925
-5.039900e-04,-0.101406
-5.039800e-04,-0.101719
-5.039700e-04,-0.0734375
-5.039600e-04,-0.112187
-5.039500e-04,-0.114844
-5.039400e-04,-0.131562
-5.039300e-04,-0.0921875
-5.039200e-04,-0.0959375
-5.039100e-04,-0.0804688
-5.039000e-04,-0.109688
-5.038900e-04,-0.113906
