Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-06
Horizontal Delay,-4e-06
Sample Interval,8e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-4.400000e-05,-0.235906
-4.399920e-05,-0.235281
-4.399840e-05,-0.23875
-4.399760e-05,-0.246438
-4.399680e-05,-0.249688
-4.399600e-05,-0.245656
-4.399520e-05,-0.250594
-4.399440e-05,-0.247031
-4.399360e-05,-0.247188
-4.399280e-05,-0.241469
-4.399200e-05,-0.239313
-4.399120e-05,-0.236563
-4.399040e-05,-0.237563
-4.398960e-05,-0.225781
-4.398880e-05,-0.234844
-4.398800e-05,-0.239719
-4.398720e-05,-0.250406
-4.398640e-05,-0.24525
-4.398560e-05,-0.250188
-4.398480e-05,-0.250937
-4.398400e-05,-0.254125
-4.398320e-05,-0.249938
-4.398240e-05,-0.243781
-4.398160e-05,-0.235594
-4.398080e-05,-0.240156
-4.398000e-05,-0.238031
-4.397920e-05,-0.23325
-4.397840e-05,-0.236437
-4.397760e-05,-0.24925
-4.397680e-05,-0.247063
-4.397600e-05,-0.247844
-4.397520e-05,-0.251531
-4.397440e-05,-0.257406
-4.397360e-05,-0.244094
-4.397280e-05,-0.246719
-4.397200e-05,-0.240031
-4.397120e-05,-0.240719
-4.397040e-05,-0.2395
-4.396960e-05,-0.236813
-4.396880e-05,-0.238281
-4.396800e-05,-0.2345
-4.396720e-05,-0.2375
-4.396640e-05,-0.251156
-4.396560e-05,-0.247531
-4.396480e-05,-0.249594
-4.396400e-05,-0.253281
-4.396320e-05,-0.250563
-4.396240e-05,-0.246375
-4.396160e-05,-0.243594
-4.396080e-05,-0.236031
-4.396000e-05,-0.235625
-4.395920e-05,-0.235344
-4.395840e-05,-0.235469
-4.395760e-05,-0.237969
-4.395680e-05,-0.2535
-4.395600e-05,-0.254188
-4.395520e-05,-0.257594
-4.395440e-05,-0.252875
-4.395360e-05,-0.254625
-4.395280e-05,-0.251719
-4.395200e-05,-0.24875
-4.395120e-05,-0.247156
-4.395040e-05,-0.244406
-4.394960e-05,-0.237813
-4.394880e-05,-0.233531
-4.394800e-05,-0.235156
-4.394720e-05,-0.238469
-4.394640e-05,-0.247906
-4.394560e-05,-0.247531
-4.394480e-05,-0.255063
-4.394400e-05,-0.257344
-4.394320e-05,-0.255188
-4.394240e-05,-0.254063
-4.394160e-05,-0.251125
-4.394080e-05,-0.246719
-4.394000e-05,-0.240187
-4.393920e-05,-0.235687
-4.393840e-05,-0.237531
-4.393760e-05,-0.242563
-4.393680e-05,-0.246094
-4.393600e-05,-0.249375
-4.393520e-05,-0.252375
-4.393440e-05,-0.253844
-4.393360e-05,-0.254844
-4.393280e-05,-0.253719
-4.393200e-05,-0.249969
-4.393120e-05,-0.24975
-4.393040e-05,-0.243281
-4.392960e-05,-0.235781
-4.392880e-05,-0.235281
-4.392800e-05,-0.238469
-4.392720e-05,-0.242625
-4.392640e-05,-0.246625
-4.392560e-05,-0.252281
-4.392480e-05,-0.249656
-4.392400e-05,-0.247313
-4.392320e-05,-0.253188
-4.392240e-05,-0.251688
-4.392160e-05,-0.258063
-4.392080e-05,-0.252969
-4.392000e-05,-0.249344
-4.391920e-05,-0.246313
-4.391840e-05,-0.240156
-4.391760e-05,-0.240906
-4.391680e-05,-0.242
-4.391600e-05,-0.247625
-4.391520e-05,-0.248844
-4.391440e-05,-0.249594
-4.391360e-05,-0.253969
-4.391280e-05,-0.255688
-4.391200e-05,-0.25425
-4.391120e-05,-0.255188
-4.391040e-05,-0.252781
-4.390960e-05,-0.246656
-4.390880e-05,-0.247344
