Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-05
Horizontal Delay,-4e-06
Sample Interval,4e-09
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,0
,
,
,
Label,
TIME,CH1
-2.040000e-04,-1.24516
-2.039960e-04,-1.3
-2.039920e-04,-1.31641
-2.039880e-04,-1.29297
-2.039840e-04,-1.31344
-2.039800e-04,-1.31641
-2.039760e-04,-1.29516
-2.039720e-04,-1.29766
-2.039680e-04,-1.25938
-2.039640e-04,-1.29234
-2.039600e-04,-1.30109
-2.039560e-04,-1.27422
-2.039520e-04,-1.30594
-2.039480e-04,-1.27937
-2.039440e-04,-1.30047
-2.039400e-04,-1.28328
-2.039360e-04,-1.31531
-2.039320e-04,-1.30578
-2.039280e-04,-1.29438
-2.039240e-04,-1.29984
-2.039200e-04,-1.28609
-2.039160e-04,-1.28531
-2.039120e-04,-1.27266
-2.039080e-04,-1.27937
-2.039040e-04,-1.30109
-2.039000e-04,-1.27891
-2.038960e-04,-1.27031
-2.038920e-04,-1.28469
-2.038880e-04,-1.28438
-2.038840e-04,-1.28422
-2.038800e-04,-1.27625
-2.038760e-04,-1.27844
-2.038720e-04,-1.27969
-2.038680e-04,-1.27563
-2.038640e-04,-1.27125
-2.038600e-04,-1.27766
-2.038560e-04,-1.2875
-2.038520e-04,-1.28453
-2.038480e-04,-1.27922
-2.038440e-04,-1.25516
-2.038400e-04,-1.27984
-2.038360e-04,-1.26234
-2.038320e-04,-1.26875
-2.038280e-04,-1.27953
-2.038240e-04,-1.27422
-2.038200e-04,-1.27953
-2.038160e-04,-1.28969
-2.038120e-04,-1.26469
-2.038080e-04,-1.26438
-2.038040e-04,-1.24891
-2.038000e-04,-1.27828
-2.037960e-04,-1.30016
-2.037920e-04,-1.27937
-2.037880e-04,-1.24969
-2.037840e-04,-1.26
-2.037800e-04,-1.26734
-2.037760e-04,-1.26453
-2.037720e-04,-1.26094
-2.037680e-04,-1.28641
-2.037640e-04,-1.28047
-2.037600e-04,-1.25266
-2.037560e-04,-1.25516
-2.037520e-04,-1.26609
-2.037480e-04,-1.23594
-2.037440e-04,-1.27906
-2.037400e-04,-1.23516
-2.037360e-04,-1.26391
-2.037320e-04,-1.25516
-2.037280e-04,-1.27219
-2.037240e-04,-1.26594
-2.037200e-04,-1.26219
-2.037160e-04,-1.25
-2.037120e-04,-1.26
-2.037080e-04,-1.24969
-2.037040e-04,-1.26516
-2.037000e-04,-1.26375
-2.036960e-04,-1.26922
-2.036920e-04,-1.23859
-2.036880e-04,-1.25687
-2.036840e-04,-1.26172
-2.036800e-04,-1.23672
-2.036760e-04,-1.25969
-2.036720e-04,-1.2575
-2.036680e-04,-1.26859
-2.036640e-04,-1.26516
-2.036600e-04,-1.24641
-2.036560e-04,-1.23609
-2.036520e-04,-1.24578
-2.036480e-04,-1.23984
-2.036440e-04,-1.26
-2.036400e-04,-1.24594
-2.036360e-04,-1.24016
-2.036320e-04,-1.24328
-2.036280e-04,-1.23984
-2.036240e-04,-1.27094
-2.036200e-04,-1.23578
-2.036160e-04,-1.26687
-2.036120e-04,-1.26109
-2.036080e-04,-1.22859
-2.036040e-04,-1.23047
-2.036000e-04,-1.23297
-2.035960e-04,-1.21375
-2.035920e-04,-1.21703
-2.035880e-04,-1.23031
-2.035840e-04,-1.24875
-2.035800e-04,-1.26
-2.035760e-04,-1.25969
-2.035720e-04,-1.25875
-2.035680e-04,-1.22938
-2.035640e-04,-1.23203
-2.035600e-04,-1.22703
-2.035560e-04,-1.25125
-2.035520e-04,-1.23766
-2.035480e-04,-1.25328
-2.035440e-04,-1.22609
