Frequency,DB(V(C1:1))@1,DB(V(C1:1))@2,DB(V(C1:1))@3
6282.771288,-33.04470481,-39.05858178,-45.07622117
6429.115831,-32.82736063,-38.84113351,-44.85874152
6578.869177,-32.60911417,-38.6227772,-44.64035211
6732.110726,-32.38992107,-38.40346811,-44.42100808
6888.921729,-32.16973435,-38.18315888,-44.20066195
7049.38533,-31.94850429,-37.96179937,-43.97926346
7213.586608,-31.72617824,-37.73933647,-43.75675936
7381.612625,-31.50270044,-37.51571394,-43.53309327
7553.552471,-31.27801182,-37.29087217,-43.30820542
7729.49731,-31.05204975,-37.06474796,-43.08203244
7909.540431,-30.82474786,-36.83727431,-42.85450715
8093.777296,-30.5960357,-36.60838011,-42.62555823
8282.305588,-30.36583854,-36.3779899,-42.39511001
8475.225268,-30.13407702,-36.14602352,-42.16308209
8672.638624,-29.90066682,-35.91239579,-41.92938904
8874.650329,-29.66551833,-35.67701613,-41.69394
9081.367491,-29.42853619,-35.43978817,-41.45663829
9292.899713,-29.18961893,-35.2006093,-41.21738096
9509.359155,-28.94865844,-34.95937018,-40.97605831
9730.860584,-28.7055395,-34.7159542,-40.73255333
9957.521445,-28.46013916,-34.47023693,-40.48674113
10189.46191,-28.21232612,-34.22208541,-40.23848829
10426.80497,-27.96196007,-33.9713575,-39.98765211
10669.67646,-27.7088909,-33.71790106,-39.73407985
10918.20515,-27.45295782,-33.46155305,-39.47760781
11172.52282,-27.19398847,-33.20213859,-39.21806039
11432.76431,-26.93179783,-32.93946989,-38.95524896
11699.0676,-26.66618705,-32.67334497,-38.68897061
11971.57389,-26.39694218,-32.40354635,-38.41900686
12250.42767,-26.12383264,-32.12983953,-38.14512203
12535.77679,-25.84660961,-31.85197124,-37.86706156
12827.77254,-25.56500417,-31.56966753,-37.58455001
13126.56974,-25.27872517,-31.28263156,-37.29728886
13432.32683,-24.98745689,-30.99054108,-37.00495397
13745.20592,-24.6908563,-30.69304564,-36.70719271
14065.37289,-24.38854995,-30.38976329,-36.40362063
14392.99751,-24.08013049,-30.08027684,-36.09381768
14728.25349,-23.76515256,-29.76412959,-35.7773238
15071.31859,-23.44312808,-29.44082029,-35.4536339
15422.3747,-23.11352088,-29.10979735,-35.12219189
15781.60795,-22.7757403,-28.77045207,-34.78238376
16149.20882,-22.42913384,-28.42211065,-34.43352949
16525.37222,-22.07297848,-28.06402483,-34.07487341
16910.29759,-21.70647045,-27.69536067,-33.70557274
17304.18902,-21.32871301,-27.31518524,-33.32468395
17707.25536,-20.93870205,-26.92245062,-32.93114624
18119.71032,-20.53530857,-26.51597443,-32.52376156
18541.7726,-20.11725774,-26.09441622,-32.10117016
18973.66596,-19.68310325,-25.65624835,-31.66182044
19415.61942,-19.231196,-25.19971987,-31.20393139
19867.86729,-18.75964539,-24.72281134,-30.72544548
20330.64937,-18.2662712,-24.22317765,-30.22396869
20804.21103,-17.74854318,-23.69807479,-29.69669343
21288.80335,-17.20350464,-23.14426511,-29.14029809
21784.68329,-16.62767489,-22.55789275,-28.55081418
22292.11375,-16.01692357,-21.93431763,-27.92344761
22811.36378,-15.3663075,-21.26789039,-27.25233401
23342.7087,-14.66985743,-20.55164158,-26.53019632
23886.43023,-13.92029814,-19.77684337,-25.74785442
24442.81667,-13.10868229,-18.93237738,-24.89350283
25012.16301,-12.22391898,-18.00379916,-23.95161267
25594.77113,-11.25219603,-16.97191463,-22.9011983
26190.94993,-10.17636756,-15.81055005,-21.71295671
