Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-06
Horizontal Delay,-4e-06
Sample Interval,8e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-4.383920e-05,-0.251031
-4.383840e-05,-0.256406
-4.383760e-05,-0.255688
-4.383680e-05,-0.25625
-4.383600e-05,-0.258375
-4.383520e-05,-0.259031
-4.383440e-05,-0.262063
-4.383360e-05,-0.252906
-4.383280e-05,-0.255
-4.383200e-05,-0.249438
-4.383120e-05,-0.2545
-4.383040e-05,-0.250219
-4.382960e-05,-0.249156
-4.382880e-05,-0.249281
-4.382800e-05,-0.253031
-4.382720e-05,-0.261469
-4.382640e-05,-0.260937
-4.382560e-05,-0.256937
-4.382480e-05,-0.261
-4.382400e-05,-0.25925
-4.382320e-05,-0.256812
-4.382240e-05,-0.257
-4.382160e-05,-0.254406
-4.382080e-05,-0.252344
-4.382000e-05,-0.246469
-4.381920e-05,-0.244688
-4.381840e-05,-0.258031
-4.381760e-05,-0.253688
-4.381680e-05,-0.259094
-4.381600e-05,-0.266188
-4.381520e-05,-0.261
-4.381440e-05,-0.261937
-4.381360e-05,-0.259156
-4.381280e-05,-0.259563
-4.381200e-05,-0.256781
-4.381120e-05,-0.251375
-4.381040e-05,-0.2495
-4.380960e-05,-0.252563
-4.380880e-05,-0.252719
-4.380800e-05,-0.250875
-4.380720e-05,-0.255063
-4.380640e-05,-0.258563
-4.380560e-05,-0.265531
-4.380480e-05,-0.256281
-4.380400e-05,-0.263844
-4.380320e-05,-0.263031
-4.380240e-05,-0.2635
-4.380160e-05,-0.255937
-4.380080e-05,-0.252594
-4.380000e-05,-0.255812
-4.379920e-05,-0.253937
-4.379840e-05,-0.256094
-4.379760e-05,-0.256719
-4.379680e-05,-0.264656
-4.379600e-05,-0.261031
-4.379520e-05,-0.262844
-4.379440e-05,-0.263031
-4.379360e-05,-0.263875
-4.379280e-05,-0.259813
-4.379200e-05,-0.261031
-4.379120e-05,-0.256437
-4.379040e-05,-0.248031
-4.378960e-05,-0.252063
-4.378880e-05,-0.253094
-4.378800e-05,-0.256156
-4.378720e-05,-0.256937
-4.378640e-05,-0.265594
-4.378560e-05,-0.259781
-4.378480e-05,-0.258469
-4.378400e-05,-0.264125
-4.378320e-05,-0.260656
-4.378240e-05,-0.258031
-4.378160e-05,-0.257531
-4.378080e-05,-0.258188
-4.378000e-05,-0.251969
-4.377920e-05,-0.252
-4.377840e-05,-0.251406
-4.377760e-05,-0.251563
-4.377680e-05,-0.254063
-4.377600e-05,-0.264469
-4.377520e-05,-0.262719
-4.377440e-05,-0.268344
-4.377360e-05,-0.265188
-4.377280e-05,-0.269062
-4.377200e-05,-0.261781
-4.377120e-05,-0.265062
-4.377040e-05,-0.258063
-4.376960e-05,-0.261844
-4.376880e-05,-0.249844
-4.376800e-05,-0.251906
-4.376720e-05,-0.257937
-4.376640e-05,-0.258813
-4.376560e-05,-0.257531
-4.376480e-05,-0.264094
-4.376400e-05,-0.267531
-4.376320e-05,-0.266281
-4.376240e-05,-0.268031
