Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-06
Horizontal Delay,-4e-06
Sample Interval,8e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,0
,
,
,
Label,
TIME,CH1
-4.400000e-05,-0.370312
-4.399920e-05,-0.370594
-4.399840e-05,-0.373125
-4.399760e-05,-0.372625
-4.399680e-05,-0.365938
-4.399600e-05,-0.372438
-4.399520e-05,-0.375281
-4.399440e-05,-0.368125
-4.399360e-05,-0.377375
-4.399280e-05,-0.377188
-4.399200e-05,-0.38
-4.399120e-05,-0.377188
-4.399040e-05,-0.370969
-4.398960e-05,-0.370719
-4.398880e-05,-0.367969
-4.398800e-05,-0.367125
-4.398720e-05,-0.367
-4.398640e-05,-0.367281
-4.398560e-05,-0.369625
-4.398480e-05,-0.365969
-4.398400e-05,-0.372563
-4.398320e-05,-0.37175
-4.398240e-05,-0.380844
-4.398160e-05,-0.372719
-4.398080e-05,-0.366719
-4.398000e-05,-0.374406
-4.397920e-05,-0.369812
-4.397840e-05,-0.370312
-4.397760e-05,-0.363312
-4.397680e-05,-0.370875
-4.397600e-05,-0.370219
-4.397520e-05,-0.367219
-4.397440e-05,-0.378812
-4.397360e-05,-0.38
-4.397280e-05,-0.373375
-4.397200e-05,-0.381406
-4.397120e-05,-0.373688
-4.397040e-05,-0.371312
-4.396960e-05,-0.369625
-4.396880e-05,-0.366563
-4.396800e-05,-0.375219
-4.396720e-05,-0.373156
-4.396640e-05,-0.372031
-4.396560e-05,-0.376406
-4.396480e-05,-0.372031
-4.396400e-05,-0.371719
-4.396320e-05,-0.37475
-4.396240e-05,-0.37575
-4.396160e-05,-0.370906
-4.396080e-05,-0.371344
-4.396000e-05,-0.375219
-4.395920e-05,-0.374281
-4.395840e-05,-0.370031
-4.395760e-05,-0.374906
-4.395680e-05,-0.374781
-4.395600e-05,-0.369219
-4.395520e-05,-0.375688
-4.395440e-05,-0.379594
-4.395360e-05,-0.373875
-4.395280e-05,-0.374563
-4.395200e-05,-0.377969
-4.395120e-05,-0.374281
-4.395040e-05,-0.376219
-4.394960e-05,-0.369031
-4.394880e-05,-0.368
-4.394800e-05,-0.368281
-4.394720e-05,-0.369844
-4.394640e-05,-0.372719
-4.394560e-05,-0.373344
-4.394480e-05,-0.376281
-4.394400e-05,-0.373656
-4.394320e-05,-0.375781
-4.394240e-05,-0.377406
-4.394160e-05,-0.376844
-4.394080e-05,-0.367656
-4.394000e-05,-0.374781
-4.393920e-05,-0.373219
-4.393840e-05,-0.37325
-4.393760e-05,-0.367
-4.393680e-05,-0.372
-4.393600e-05,-0.372969
-4.393520e-05,-0.376188
-4.393440e-05,-0.370844
-4.393360e-05,-0.379563
-4.393280e-05,-0.372781
-4.393200e-05,-0.380469
-4.393120e-05,-0.375656
-4.393040e-05,-0.374
-4.392960e-05,-0.373969
-4.392880e-05,-0.379469
-4.392800e-05,-0.377875
-4.392720e-05,-0.373063
-4.392640e-05,-0.373312
-4.392560e-05,-0.37625
-4.392480e-05,-0.373906
-4.392400e-05,-0.375969
-4.392320e-05,-0.375125
-4.392240e-05,-0.383
-4.392160e-05,-0.376344
-4.392080e-05,-0.378281
-4.392000e-05,-0.376656
-4.391920e-05,-0.378344
-4.391840e-05,-0.375344
-4.391760e-05,-0.370969
-4.391680e-05,-0.37525
-4.391600e-05,-0.376125
-4.391520e-05,-0.374969
-4.391440e-05,-0.378688
-4.391360e-05,-0.382
-4.391280e-05,-0.379594
-4.391200e-05,-0.370531
-4.391120e-05,-0.381375
-4.391040e-05,-0.377156
-4.390960e-05,-0.372281
-4.390880e-05,-0.375281
