Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,2e-05
Horizontal Delay,-4e-06
Sample Interval,2e-09
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.1
Vertical Position,-0.12
,
,
,
Label,
TIME,CH2
-1.040000e-04,-0.289969
-1.039980e-04,-0.292484
-1.039960e-04,-0.294266
-1.039940e-04,-0.290047
-1.039920e-04,-0.292922
-1.039900e-04,-0.293375
-1.039880e-04,-0.290234
-1.039860e-04,-0.293
-1.039840e-04,-0.291578
-1.039820e-04,-0.292719
-1.039800e-04,-0.293516
-1.039780e-04,-0.291797
-1.039760e-04,-0.291
-1.039740e-04,-0.295391
-1.039720e-04,-0.293766
-1.039700e-04,-0.293078
-1.039680e-04,-0.291828
-1.039660e-04,-0.293734
-1.039640e-04,-0.293828
-1.039620e-04,-0.295609
-1.039600e-04,-0.292656
-1.039580e-04,-0.289875
-1.039560e-04,-0.294687
-1.039540e-04,-0.293734
-1.039520e-04,-0.292047
-1.039500e-04,-0.291406
-1.039480e-04,-0.294578
-1.039460e-04,-0.295031
-1.039440e-04,-0.293922
-1.039420e-04,-0.295656
-1.039400e-04,-0.293266
-1.039380e-04,-0.294594
-1.039360e-04,-0.291375
-1.039340e-04,-0.293109
-1.039320e-04,-0.295766
-1.039300e-04,-0.294906
-1.039280e-04,-0.294516
-1.039260e-04,-0.294656
-1.039240e-04,-0.292906
-1.039220e-04,-0.293375
-1.039200e-04,-0.296766
-1.039180e-04,-0.296438
-1.039160e-04,-0.295516
-1.039140e-04,-0.297031
-1.039120e-04,-0.294047
-1.039100e-04,-0.294
-1.039080e-04,-0.293812
-1.039060e-04,-0.295219
-1.039040e-04,-0.296391
-1.039020e-04,-0.294031
-1.039000e-04,-0.297063
-1.038980e-04,-0.295766
-1.038960e-04,-0.295391
-1.038940e-04,-0.293187
-1.038920e-04,-0.297031
-1.038900e-04,-0.295719
-1.038880e-04,-0.294078
-1.038860e-04,-0.294391
-1.038840e-04,-0.297344
-1.038820e-04,-0.297094
-1.038800e-04,-0.297391
-1.038780e-04,-0.296531
-1.038760e-04,-0.297172
-1.038740e-04,-0.295672
-1.038720e-04,-0.296609
-1.038700e-04,-0.297563
-1.038680e-04,-0.298516
-1.038660e-04,-0.297516
-1.038640e-04,-0.298703
-1.038620e-04,-0.294297
-1.038600e-04,-0.296547
-1.038580e-04,-0.297484
-1.038560e-04,-0.297828
-1.038540e-04,-0.296547
-1.038520e-04,-0.299594
-1.038500e-04,-0.297234
-1.038480e-04,-0.298859
-1.038460e-04,-0.297594
-1.038440e-04,-0.297609
-1.038420e-04,-0.300953
-1.038400e-04,-0.297828
-1.038380e-04,-0.300094
-1.038360e-04,-0.297578
-1.038340e-04,-0.297766
-1.038320e-04,-0.297922
-1.038300e-04,-0.298547
-1.038280e-04,-0.296531
-1.038260e-04,-0.297
-1.038240e-04,-0.297281
-1.038220e-04,-0.297141
-1.038200e-04,-0.297406
-1.038180e-04,-0.297359
-1.038160e-04,-0.299016
-1.038140e-04,-0.300422
-1.038120e-04,-0.298109
-1.038100e-04,-0.300453
-1.038080e-04,-0.295625
-1.038060e-04,-0.300484
-1.038040e-04,-0.299141
-1.038020e-04,-0.297641
-1.038000e-04,-0.30175
-1.037980e-04,-0.297297
-1.037960e-04,-0.297781
-1.037940e-04,-0.300016
-1.037920e-04,-0.298734
-1.037900e-04,-0.300109
-1.037880e-04,-0.299625
-1.037860e-04,-0.300031
-1.037840e-04,-0.298609
-1.037820e-04,-0.301063
-1.037800e-04,-0.299766
-1.037780e-04,-0.297641
-1.037760e-04,-0.299516
-1.037740e-04,-0.299547
-1.037720e-04,-0.301937
