Frequency,P(V(C1:1))
169102.9759,-179.3453836
173041.8902,-179.3603779
177072.5536,-179.3750246
181197.1032,-179.3893321
185417.726,-179.4033085
189736.6596,-179.4169617
194156.1942,-179.4302993
198678.6729,-179.4433289
203306.4937,-179.4560577
208042.1103,-179.468493
212888.0335,-179.4806416
217846.8329,-179.4925104
222921.1375,-179.5041058
228113.6378,-179.5154344
233427.087,-179.5265024
238864.3023,-179.5373159
244428.1667,-179.5478808
250121.6301,-179.5582031
255947.7113,-179.5682884
261909.4993,-179.5781421
268010.1553,-179.5877698
274252.9138,-179.5971767
280641.0848,-179.6063678
287178.0554,-179.6153483
293867.2916,-179.624123
300712.3402,-179.6326967
307716.8304,-179.641074
314884.4761,-179.6492595
322219.0778,-179.6572577
329724.5243,-179.6650729
337404.7951,-179.6727093
345263.9624,-179.680171
353306.1932,-179.687462
361535.7516,-179.6945864
369957.0011,-179.7015479
378574.4067,-179.7083503
387392.5374,-179.7149973
396416.0688,-179.7214925
405649.7852,-179.7278392
415098.5826,-179.734041
424767.4706,-179.7401012
434661.576,-179.7460231
444786.1448,-179.7518097
455146.545,-179.7574642
465748.27,-179.7629897
476596.9408,-179.7683891
487698.3097,-179.7736653
499058.2627,-179.7788212
510682.8229,-179.7838594
522578.154,-179.7887826
534750.5629,-179.7935936
547206.5036,-179.7982949
559952.5805,-179.8028889
572995.5516,-179.8073782
586342.3326,-179.8117652
600000,-179.8160521
613975.7954,-179.8202413
628277.1288,-179.824335
642911.5831,-179.8283353
657886.9177,-179.8322445
673211.0726,-179.8360646
688892.1729,-179.8397977
704938.533,-179.8434456
721358.6608,-179.8470105
738161.2625,-179.8504941
755355.2471,-179.8538983
772949.731,-179.857225
790954.0431,-179.8604758
809377.7296,-179.8636526
828230.5588,-179.8667571
847522.5268,-179.8697908
867263.8624,-179.8727554
887465.0329,-179.8756525
908136.7491,-179.8784835
929289.9713,-179.8812501
950935.9155,-179.8839537
973086.0584,-179.8865957
995752.1445,-179.8891775
1018946.191,-179.8917005
1042680.497,-179.8941661
1066967.646,-179.8965755
1091820.515,-179.8989301
1117252.282,-179.901231
1143276.431,-179.9034795
1169906.76,-179.9056768
1197157.389,-179.9078241
1225042.767,-179.9099225
1253577.679,-179.9119731
1282777.254,-179.913977
1312656.974,-179.9159352
1343232.683,-179.9178489
1374520.592,-179.919719
1406537.289,-179.9215466
1439299.751,-179.9233325
1472825.349,-179.9250777
1507131.859,-179.9267833
1542237.47,-179.92845
1578160.795,-179.9300787
1614920.882,-179.9316704
1652537.222,-179.9332258
1691029.759,-179.9347458
1730418.902,-179.9362312
1770725.536,-179.9376828
1811971.032,-179.9391013
1854177.26,-179.9404875
1897366.596,-179.9418422
1941561.942,-179.943166
1986786.729,-179.9444597
2033064.937,-179.945724
2080421.103,-179.9469595
2128880.335,-179.9481668
2178468.329,-179.9493467
2229211.375,-179.9504996
2281136.378,-179.9516264
2334270.87,-179.9527275
2388643.023,-179.9538035
2444281.667,-179.954855
2501216.301,-179.9558826
2559477.113,-179.9568868
2619094.993,-179.9578682
2680101.553,-179.9588272
2742529.138,-179.9597644
2806410.848,-179.9606802
2871780.554,-179.9615752
2938672.916,-179.9624498
3007123.402,-179.9633045
3077168.304,-179.9641397
3148844.761,-179.964956
3222190.778,-179.9657536
3297245.243,-179.9665331
3374047.951,-179.9672949
3452639.624,-179.9680393
3533061.932,-179.9687668
3615357.516,-179.9694777
3699570.011,-179.9701724
3785744.067,-179.9708513
3873925.374,-179.9715147
3964160.688,-179.9721631
4056497.852,-179.9727967
4150985.826,-179.9734159
4247674.706,-179.9740209
4346615.76,-179.9746122
4447861.448,-179.9751901
4551465.45,-179.9757548
4657482.7,-179.9763066
4765969.408,-179.9768459
4876983.097,-179.9773729
4990582.627,-179.9778879
5106828.229,-179.9783911
5225781.54,-179.978883
5347505.629,-179.9793636
5472065.036,-179.9798333
5599525.805,-179.9802923
5729955.516,-179.9807408
5863423.326,-179.9811791
6000000,-179.9816075
