Model,MDO3034
Firmware Version,1.22

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-05
Horizontal Delay,-4e-06
Sample Interval,4e-09
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Vertical Position,0
,
,
,
Label,
TIME,CH1
-2.040000e-04,-1.315
-2.039960e-04,-1.28016
-2.039920e-04,-1.28188
-2.039880e-04,-1.33313
-2.039840e-04,-1.28578
-2.039800e-04,-1.30625
-2.039760e-04,-1.27781
-2.039720e-04,-1.28547
-2.039680e-04,-1.30641
-2.039640e-04,-1.28281
-2.039600e-04,-1.31047
-2.039560e-04,-1.27672
-2.039520e-04,-1.28047
-2.039480e-04,-1.28781
-2.039440e-04,-1.27672
-2.039400e-04,-1.30547
-2.039360e-04,-1.30531
-2.039320e-04,-1.29609
-2.039280e-04,-1.30313
-2.039240e-04,-1.2825
-2.039200e-04,-1.30547
-2.039160e-04,-1.30406
-2.039120e-04,-1.28672
-2.039080e-04,-1.30516
-2.039040e-04,-1.28891
-2.039000e-04,-1.28094
-2.038960e-04,-1.29172
-2.038920e-04,-1.3075
-2.038880e-04,-1.28047
-2.038840e-04,-1.29656
-2.038800e-04,-1.29406
-2.038760e-04,-1.27641
-2.038720e-04,-1.28563
-2.038680e-04,-1.28016
-2.038640e-04,-1.27609
-2.038600e-04,-1.27828
-2.038560e-04,-1.26859
-2.038520e-04,-1.30422
-2.038480e-04,-1.25703
-2.038440e-04,-1.27875
-2.038400e-04,-1.27672
-2.038360e-04,-1.27937
-2.038320e-04,-1.28422
-2.038280e-04,-1.26016
-2.038240e-04,-1.2975
-2.038200e-04,-1.27781
-2.038160e-04,-1.27891
-2.038120e-04,-1.29766
-2.038080e-04,-1.25656
-2.038040e-04,-1.29937
-2.038000e-04,-1.25016
-2.037960e-04,-1.24797
-2.037920e-04,-1.2525
-2.037880e-04,-1.26641
-2.037840e-04,-1.27719
-2.037800e-04,-1.28313
-2.037760e-04,-1.26781
-2.037720e-04,-1.29391
-2.037680e-04,-1.28
-2.037640e-04,-1.27781
-2.037600e-04,-1.24672
-2.037560e-04,-1.25672
-2.037520e-04,-1.26656
-2.037480e-04,-1.27984
-2.037440e-04,-1.28016
-2.037400e-04,-1.26969
-2.037360e-04,-1.24797
-2.037320e-04,-1.25703
-2.037280e-04,-1.25203
-2.037240e-04,-1.27047
-2.037200e-04,-1.24953
-2.037160e-04,-1.25562
-2.037120e-04,-1.25703
-2.037080e-04,-1.2575
-2.037040e-04,-1.27734
-2.037000e-04,-1.25922
-2.036960e-04,-1.26578
-2.036920e-04,-1.26906
-2.036880e-04,-1.24234
-2.036840e-04,-1.26812
-2.036800e-04,-1.26234
-2.036760e-04,-1.23922
-2.036720e-04,-1.27703
-2.036680e-04,-1.25687
-2.036640e-04,-1.24484
-2.036600e-04,-1.26156
-2.036560e-04,-1.25609
-2.036520e-04,-1.27563
-2.036480e-04,-1.25844
-2.036440e-04,-1.24422
-2.036400e-04,-1.23781
-2.036360e-04,-1.24438
-2.036320e-04,-1.27422
-2.036280e-04,-1.24047
-2.036240e-04,-1.23609
-2.036200e-04,-1.25438
-2.036160e-04,-1.23828
-2.036120e-04,-1.25687
-2.036080e-04,-1.255
-2.036040e-04,-1.21219
-2.036000e-04,-1.25453
-2.035960e-04,-1.26281
-2.035920e-04,-1.24313
-2.035880e-04,-1.24562
-2.035840e-04,-1.25188
-2.035800e-04,-1.25609
-2.035760e-04,-1.21734
-2.035720e-04,-1.27391
-2.035680e-04,-1.23406
-2.035640e-04,-1.23562
-2.035600e-04,-1.24766
-2.035560e-04,-1.24453
-2.035520e-04,-1.26
-2.035480e-04,-1.24469
-2.035440e-04,-1.23984
